committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613450,23,7AA5FF409BA379A24C8,1562724,CCM,CAMPAIGN COMMITTEE,C00410639,C00410639,PERLMUTTER FOR CONGRESS,CO,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,,,2021-10-05 0:00:00,2500,H,HOUSE,7,H6CO07023,"PERLMUTTER, EDWIN GEORGE",EDWIN,PERLMUTTER,GEORGE,,,CO,COLORADO,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,WHEAT RIDGE,80033,CONTRIBUTIONS,,2022,SB,4020220221404097959,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613450,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613452,23,E1F17ADCB13CD0EFFF3,1562724,CCM,CAMPAIGN COMMITTEE,C00539866,C00539866,ROBIN KELLY FOR CONGRESS,IL,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,,,2021-11-30 0:00:00,2500,H,HOUSE,2,H2IL02172,"KELLY, ROBIN LYNNE",ROBIN,KELLY,LYNNE,,,IL,ILLINOIS,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,CHICAGO,60654,CONTRIBUTIONS,,2022,SB,4020220221404097964,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613452,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613452,23,8C5CB6F4227311825C5,1562724,CCM,CAMPAIGN COMMITTEE,C00670695,C00670695,ROMNEY FOR UTAH INC,MA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2024 CONVENTION,,,2021-09-16 0:00:00,2500,S,SENATE,,S8UT00176,"ROMNEY, MITT",MITT,ROMNEY,,,,UT,UTAH,C2024,CONVENTION,CONVENTION,2024,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,BEVERLY,1915,CONTRIBUTIONS,,2022,SB,4020220221404097965,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613452,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613455,23,EB7C19F882BD33BF9CD,1562724,CCM,CAMPAIGN COMMITTEE,C00540732,C00540732,SCHATZ FOR SENATE,HI,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,,,2021-11-30 0:00:00,2500,S,SENATE,,S4HI00136,"SCHATZ, BRIAN EMANUEL",BRIAN,SCHATZ,EMANUEL,,,HI,HAWAII,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,HONOLULU,96812,CONTRIBUTIONS,,2022,SB,4020220221404097974,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613455,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613456,23,3B9153AFC79159CE507,1562724,CCM,CAMPAIGN COMMITTEE,C00503110,C00503110,SCOTT PETERS FOR CONGRESS,CA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,,,2021-11-30 0:00:00,2500,H,HOUSE,52,H2CA52089,"PETERS, SCOTT H.",SCOTT,PETERS,H.,,,CA,CALIFORNIA,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,SAN DIEGO,92192,CONTRIBUTIONS,,2022,SB,4020220221404097977,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613456,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613459,23,04F658708CD35DF1B73,1562724,CCM,CAMPAIGN COMMITTEE,C00508804,C00508804,SINEMA FOR ARIZONA,AZ,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2024 PRIMARY,,,2021-09-21 0:00:00,2500,S,SENATE,,S8AZ00197,"SINEMA, KYRSTEN",KYRSTEN,SINEMA,,,,AZ,ARIZONA,P2024,,PRIMARY,2024,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,PHOENIX,85011,CONTRIBUTIONS,,2022,SB,4020220221404097986,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613459,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613460,23,66EA0360274C8BCE324,1562724,CCM,CAMPAIGN COMMITTEE,C00508804,C00508804,SINEMA FOR ARIZONA,AZ,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2024 GENERAL,,,2021-09-21 0:00:00,2500,S,SENATE,,S8AZ00197,"SINEMA, KYRSTEN",KYRSTEN,SINEMA,,,,AZ,ARIZONA,G2024,,GENERAL,2024,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,PHOENIX,85011,CONTRIBUTIONS,,2022,SB,4020220221404097987,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613460,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613461,23,58E73312D464C38F20A,1562724,CCM,CAMPAIGN COMMITTEE,C00491357,C00491357,STEVE DAINES FOR MONTANA,MT,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2026 PRIMARY,,,2021-08-10 0:00:00,2500,S,SENATE,,S2MT00096,"DAINES, STEVE DAVID",STEVE,DAINES,DAVID,,,MT,MONTANA,P2026,,PRIMARY,2026,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,HELENA,596241598,CONTRIBUTIONS,,2022,SB,4020220221404097992,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613461,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613463,23,D56EC59A55E1A110EB7,1562724,CCM,CAMPAIGN COMMITTEE,C00718627,C00718627,TEAM HAGERTY,TN,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 PRIMARY DEBT RETIREMENT,,,2021-07-13 0:00:00,2500,S,SENATE,,S0TN00169,"HAGERTY, BILL",BILL,HAGERTY,,,,TN,TENNESSEE,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,NASHVILLE,37205,CONTRIBUTIONS,,2022,SB,4020220221404097997,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613463,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613463,23,E79FA2FE2511BBE3146,1562724,CCM,CAMPAIGN COMMITTEE,C00718627,C00718627,TEAM HAGERTY,TN,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 PRIMARY DEBT RETIREMENT,,,2021-11-02 0:00:00,2500,S,SENATE,,S0TN00169,"HAGERTY, BILL",BILL,HAGERTY,,,,TN,TENNESSEE,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,NASHVILLE,37205,CONTRIBUTIONS,,2022,SB,4020220221404097998,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613463,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613465,23,A6F2A1B670F20567670,1562724,CCM,CAMPAIGN COMMITTEE,C00369033,C00369033,TEXANS FOR SENATOR JOHN CORNYN INC.,TX,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2026 PRIMARY,,,2021-09-03 0:00:00,2500,S,SENATE,,S2TX00106,"CORNYN, JOHN III",JOHN,CORNYN,,,III,TX,TEXAS,P2026,,PRIMARY,2026,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,AUSTIN,78711,CONTRIBUTIONS,,2022,SB,4020220221404098002,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613465,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
