committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00428623,GOOGLE LLC NETPAC,2021,M9,202109209466892165,23,EXPB256053,1539225,CCM,CAMPAIGN COMMITTEE,C00473132,C00473132,MCKINLEY FOR CONGRESS,WV,MCKINLEY FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,,,2021-08-13 0:00:00,2500,H,HOUSE,1,H0WV01072,"MCKINLEY, DAVID",DAVID,MCKINLEY,,,,WV,WEST VIRGINIA,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2021-09-23 3:53:08,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4092120211371134480,MORGANTOWN,26507,CONTRIBUTIONS,,2022,SB,4092320211371920489,https://docquery.fec.gov/cgi-bin/fecimg/?202109209466892165,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2021,M9,202109209466892166,23,EXPB256061,1539225,CCM,CAMPAIGN COMMITTEE,C00710103,C00710103,NANCY MACE FOR CONGRESS,SC,NANCY MACE FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,,,2021-08-13 0:00:00,2500,H,HOUSE,1,H0SC01394,"MACE, NANCY",NANCY,MACE,,,,SC,SOUTH CAROLINA,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2021-09-23 3:53:08,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4092120211371134480,CHARLESTON,29492,CONTRIBUTIONS,,2022,SB,4092320211371920493,https://docquery.fec.gov/cgi-bin/fecimg/?202109209466892166,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2021,M9,202109209466892170,23,EXPB256042,1539225,CCM,CAMPAIGN COMMITTEE,C00412759,C00412759,VERN BUCHANAN FOR CONGRESS,FL,VERN BUCHANAN FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,,,2021-08-13 0:00:00,2500,H,HOUSE,16,H6FL13148,"BUCHANAN, VERN",VERN,BUCHANAN,,,,FL,FLORIDA,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2021-09-23 3:53:08,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4092120211371134480,SARASOTA,34230,CONTRIBUTIONS,,2022,SB,4092320211371920505,https://docquery.fec.gov/cgi-bin/fecimg/?202109209466892170,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2021,M9,202109209466892171,23,EXPB256046,1539225,CCM,CAMPAIGN COMMITTEE,C00497818,C00497818,WENSTRUP FOR CONGRESS,OH,WENSTRUP FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,,,2021-08-13 0:00:00,2500,H,HOUSE,2,H2OH02085,"WENSTRUP, BRAD",BRAD,WENSTRUP,,,,OH,OHIO,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2021-09-23 3:53:08,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4092120211371134480,CINCINNATI,45209,CONTRIBUTIONS,,2022,SB,4092320211371920507,https://docquery.fec.gov/cgi-bin/fecimg/?202109209466892171,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2021,M10,202110209468198857,23,EXPB258113,1546087,CCM,CAMPAIGN COMMITTEE,C00258475,C00258475,ANNA ESHOO FOR CONGRESS,CA,ANNA ESHOO FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,,,2021-09-24 0:00:00,2500,H,HOUSE,18,H8CA12098,"ESHOO, ANNA",ANNA,ESHOO,,,,CA,CALIFORNIA,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2021-10-26 3:53:23,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4102120211374312457,SACRAMENTO,95814,CONTRIBUTIONS,,2022,SB,4102620211375774902,https://docquery.fec.gov/cgi-bin/fecimg/?202110209468198857,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2021,M10,202110209468198860,23,EXPB258127,1546087,CCM,CAMPAIGN COMMITTEE,C00384529,C00384529,LISA MURKOWSKI FOR US SENATE,AK,LISA MURKOWSKI FOR US SENATE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,,,2021-09-24 0:00:00,2500,S,SENATE,,S4AK00099,"MURKOWSKI, LISA",LISA,MURKOWSKI,,,,AK,ALASKA,G2022,,GENERAL,2022,A,ADD,ITEMIZED DISBURSEMENTS,2021-10-26 3:53:23,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4102120211374312457,ANCHORAGE,99510,CONTRIBUTIONS,,2022,SB,4102620211375774912,https://docquery.fec.gov/cgi-bin/fecimg/?202110209468198860,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2021,M10,202110209468198861,23,EXPB258124,1546087,CCM,CAMPAIGN COMMITTEE,C00710103,C00710103,NANCY MACE FOR CONGRESS,SC,NANCY MACE FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,,,2021-09-24 0:00:00,2500,H,HOUSE,1,H0SC01394,"MACE, NANCY",NANCY,MACE,,,,SC,SOUTH CAROLINA,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2021-10-26 3:53:23,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4102120211374312457,CHARLESTON,29492,CONTRIBUTIONS,,2022,SB,4102620211375774915,https://docquery.fec.gov/cgi-bin/fecimg/?202110209468198861,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2022,M10,202210209537812696,23,EB275043,1645706,CCM,CAMPAIGN COMMITTEE,C00578302,C00578302,LOU CORREA FOR CONGRESS,CA,LOU CORREA FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,,,2022-09-16 0:00:00,2500,H,HOUSE,46,H6CA46116,"CORREA, LOU",LOU,CORREA,,,,CA,CALIFORNIA,G2022,,GENERAL,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-11-19 4:06:21,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4102020221589932878,SACRAMENTO,95834,CONTRIBUTIONS,,2022,SB,4111820221630373126,https://docquery.fec.gov/cgi-bin/fecimg/?202210209537812696,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2022,M10,202210209537812697,23,EB275025,1645706,CCM,CAMPAIGN COMMITTEE,C00226928,C00226928,PALLONE FOR CONGRESS,NJ,PALLONE FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,,,2022-09-16 0:00:00,2500,H,HOUSE,6,H8NJ03073,"PALLONE, FRANK",FRANK,PALLONE,,,,NJ,NEW JERSEY,G2022,,GENERAL,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-11-19 4:06:21,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4102020221589932878,LONG BRANCH,7740,CONTRIBUTIONS,,2022,SB,4111820221630373128,https://docquery.fec.gov/cgi-bin/fecimg/?202210209537812697,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2022,M10,202210209537812698,23,EB275702,1645706,CCM,CAMPAIGN COMMITTEE,C00258475,C00258475,ANNA ESHOO FOR CONGRESS,CA,ANNA ESHOO FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,,,2022-09-23 0:00:00,2500,H,HOUSE,16,H8CA12098,"ESHOO, ANNA",ANNA,ESHOO,,,,CA,CALIFORNIA,G2022,,GENERAL,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-11-19 4:06:21,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4102020221589932878,SACRAMENTO,95814,CONTRIBUTIONS,,2022,SB,4111820221630373133,https://docquery.fec.gov/cgi-bin/fecimg/?202210209537812698,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
