representatives
"Rep. Craig, Angie [D-MN-2]*"
"Rep. Casten, Sean [D-IL-6]*"
"Rep. Jones, Mondaire [D-NY-17]*"
"Rep. Moore, Gwen [D-WI-4]*"
"Rep. Grijalva, Raúl M. [D-AZ-3]*"
"Rep. Williams, Nikema [D-GA-5]*"
"Rep. Castro, Joaquin [D-TX-20]*"
"Rep. Porter, Katie [D-CA-45]*"
"Rep. Escobar, Veronica [D-TX-16]*"
"Rep. Horsford, Steven [D-NV-4]*"
"Rep. Crist, Charlie [D-FL-13]*"
"Rep. Maloney, Sean Patrick [D-NY-18]*"
"Rep. Cicilline, David N. [D-RI-1]*"
"Rep. Evans, Dwight [D-PA-3]*"
"Rep. Soto, Darren [D-FL-9]*"
"Rep. Sherman, Brad [D-CA-30]*"
"Rep. Omar, Ilhan [D-MN-5]*"
"Rep. Bustos, Cheri [D-IL-17]*"
"Rep. Meng, Grace [D-NY-6]*"
"Rep. Napolitano, Grace F. [D-CA-32]*"
"Rep. Castor, Kathy [D-FL-14]*"
"Rep. Krishnamoorthi, Raja [D-IL-8]*"
"Rep. Dean, Madeleine [D-PA-4]*"
"Rep. Kirkpatrick, Ann [D-AZ-2]*"
"Rep. Langevin, James R. [D-RI-2]*"
"Rep. Haaland, Debra A. [D-NM-1]*"
"Rep. Schakowsky, Janice D. [D-IL-9]*"
"Rep. Huffman, Jared [D-CA-2]*"
"Rep. Neguse, Joe [D-CO-2]*"
"Rep. Perlmutter, Ed [D-CO-7]*"
"Rep. Auchincloss, Jake [D-MA-4]*"
"Rep. Price, David E. [D-NC-4]*"
"Rep. Vargas, Juan [D-CA-51]*"
"Rep. Luria, Elaine G. [D-VA-2]*"
"Rep. Golden, Jared F. [D-ME-2]*"
"Rep. Ruiz, Raul [D-CA-36]*"
"Rep. Schiff, Adam B. [D-CA-28]*"
"Rep. Malinowski, Tom [D-NJ-7]*"
"Rep. Gomez, Jimmy [D-CA-34]*"
"Rep. Stevens, Haley M. [D-MI-11]*"
"Rep. Lawson, Al, Jr. [D-FL-5]*"
"Rep. Smith, Christopher H. [R-NJ-4]*"
"Rep. McEachin, A. Donald [D-VA-4]*"
