senators,disbursement_amount,representatives
,4000.0,"Rep. Veasey, Marc A. [D-TX-33]*"
,4000.0,"Rep. Dingell, Debbie [D-MI-12]*"
,4000.0,"Rep. Castor, Kathy [D-FL-14]*"
,4500.0,"Rep. Tonko, Paul [D-NY-20]*"
,4500.0,"Rep. Larson, John B. [D-CT-1]*"
,5000.0,"Rep. DelBene, Suzan K. [D-WA-1]"
,5000.0,"Rep. Aguilar, Pete [D-CA-31]*"
,5000.0,"Rep. Stanton, Greg [D-AZ-9]*"
,5000.0,"Rep. Lieu, Ted [D-CA-33]*"
,5000.0,"Rep. Hoyer, Steny H. [D-MD-5]*"
,5000.0,"Rep. Nadler, Jerrold [D-NY-10]*"
,5000.0,"Rep. Clark, Katherine M. [D-MA-5]*"
,5000.0,"Rep. Matsui, Doris O. [D-CA-6]*"
,5000.0,"Rep. Clyburn, James E. [D-SC-6]"
,5000.0,"Rep. Swalwell, Eric [D-CA-15]*"
,5500.0,"Rep. Ruiz, Raul [D-CA-36]*"
,7500.0,"Rep. Neal, Richard E. [D-MA-1]"
,10000.0,"Rep. Lofgren, Zoe [D-CA-19]"
,10000.0,"Rep. Eshoo, Anna G. [D-CA-18]*"
